bin_center,bin_count,background_estimate,signal_only
80.125,3,7.46584331515146,0.0
80.375,12,8.19855596552702,3.801444034472979
80.625,13,8.911820238754217,4.088179761245783
80.875,13,9.605636134833048,3.3943638651669517
81.125,10,10.280003653763742,0.0
81.375,9,10.934922795546072,0.0
81.625,11,11.570393560180491,0.0
81.875,10,12.186415947666319,0.0
82.125,10,12.78298995800401,0.0
82.375,8,13.360115591193562,0.0
82.625,11,13.91779284723475,0.0
82.875,16,14.456021726127801,1.5439782738721988
83.125,24,14.974802227872487,9.025197772127513
83.375,11,15.474134352469036,0.0
83.625,16,15.954018099917448,0.045981900082551874
83.875,19,16.414453470217495,2.585546529782505
84.125,13,16.855440463369177,0.0
84.375,18,17.276979079372722,0.7230209206272775
84.625,18,17.67906931822813,0.3209306817718698
84.875,22,18.061711179935173,3.9382888200648267
85.125,23,18.42490466449408,4.575095335505921
85.375,17,18.76864977190462,0.0
85.625,22,19.092946502167024,2.907053497832976
85.875,30,19.397794855281063,10.602205144718937
86.125,33,19.683194831246965,13.316805168753035
86.375,24,19.94914643006473,4.050853569935271
86.625,33,20.19564965173413,12.80435034826587
86.875,36,20.422704496255164,15.577295503744836
87.125,41,20.63031096362829,20.36968903637171
87.375,53,20.818469053852823,32.18153094614718
87.625,51,20.98717876692922,30.01282123307078
87.875,65,21.136440102857478,43.86355989714252
88.125,64,21.266253061636917,42.73374693836308
88.375,77,21.376617643268673,55.62338235673133
88.625,104,21.467533847752293,82.53246615224771
88.875,96,21.539001675087547,74.46099832491245
89.125,134,21.591021125274438,112.40897887472556
89.375,128,21.62359219831319,106.37640780168681
89.625,156,21.636714894203806,134.3632851057962
89.875,145,21.630389212946056,123.36961078705394
90.125,159,21.604615154539943,137.39538484546006
90.375,180,21.55939271898592,158.44060728101408
90.625,177,21.494721906283303,155.5052780937167
90.875,166,21.410602716432777,144.58939728356722
91.125,199,21.30703514943366,177.69296485056634
91.375,182,21.18401920528663,160.81598079471337
91.625,177,21.04155488399124,155.95844511600876
91.875,174,20.879642185547482,153.12035781445252
92.125,135,20.698281109955587,114.30171889004441
92.375,136,20.497471657215556,115.50252834278444
92.625,114,20.27721382732716,93.72278617267284
92.875,122,20.037507620290626,101.96249237970937
93.125,88,19.778353036105727,68.22164696389427
93.375,62,19.49975007477269,42.50024992522731
93.625,58,19.20169873629129,38.79830126370871
93.875,49,18.884199020661754,30.115800979338246
94.125,58,18.54725092788385,39.45274907211615
94.375,52,18.190854457957812,33.80914554204219
94.625,40,17.815009610883635,22.184990389116365
94.875,48,17.419716386661094,30.580283613338906
95.125,26,17.004974785290187,8.995025214709813
95.375,24,16.570784806771144,7.429215193228856
95.625,22,16.117146451103963,5.882853548896037
95.875,20,15.644059718288418,4.355940281711582
96.125,27,15.15152460832428,11.84847539167572
96.375,12,14.639541121212233,0.0
96.625,16,14.108109256952048,1.8918907430479521
96.875,12,13.557229015543726,0.0
97.125,11,12.986900396986812,0.0
97.375,11,12.397123401281988,0.0
97.625,14,11.787898028428799,2.212101971571201
97.875,11,11.159224278427473,0.0
98.125,12,10.511102151277782,1.4888978487222175
98.375,12,9.843531646979727,2.156468353020273
98.625,7,9.156512765533762,0.0
98.875,6,8.450045506939205,0.0
99.125,6,7.724129871196737,0.0
99.375,7,6.978765858305906,0.021234141694094433
99.625,6,6.213953468266709,0.0
99.875,9,5.429692701079375,3.570307298920625
